,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa
207,4859,10,1,1981,2,NL,M,34.0,208.0,Neotoma,albigula,Rodent
208,4876,10,24,1981,12,NL,M,34.0,235.0,Neotoma,albigula,Rodent
209,4902,10,24,1981,21,NL,F,34.0,165.0,Neotoma,albigula,Rodent
210,4914,10,25,1981,11,NL,M,34.0,162.0,Neotoma,albigula,Rodent
211,4923,10,25,1981,11,NL,F,33.0,157.0,Neotoma,albigula,Rodent
212,4935,10,25,1981,13,NL,M,35.0,177.0,Neotoma,albigula,Rodent
213,4940,10,26,1981,3,NL,M,34.0,195.0,Neotoma,albigula,Rodent
214,4949,10,26,1981,1,NL,M,34.0,187.0,Neotoma,albigula,Rodent
215,4962,11,22,1981,12,NL,F,,264.0,Neotoma,albigula,Rodent
216,4974,11,22,1981,11,NL,M,,186.0,Neotoma,albigula,Rodent
217,4986,11,22,1981,11,NL,F,33.0,169.0,Neotoma,albigula,Rodent
218,4990,11,22,1981,20,NL,M,33.0,220.0,Neotoma,albigula,Rodent
219,5024,11,23,1981,5,NL,F,33.0,186.0,Neotoma,albigula,Rodent
220,5036,11,23,1981,3,NL,F,,157.0,Neotoma,albigula,Rodent
221,5041,11,23,1981,1,NL,M,33.0,194.0,Neotoma,albigula,Rodent
222,5048,11,23,1981,2,NL,M,34.0,192.0,Neotoma,albigula,Rodent
223,5069,11,23,1981,13,NL,M,,,Neotoma,albigula,Rodent
224,5104,12,30,1981,18,NL,F,35.0,212.0,Neotoma,albigula,Rodent
225,5116,12,31,1981,12,NL,M,31.0,83.0,Neotoma,albigula,Rodent
226,5117,12,31,1981,24,NL,F,33.0,134.0,Neotoma,albigula,Rodent
227,5127,12,31,1981,24,NL,M,34.0,157.0,Neotoma,albigula,Rodent
228,5134,12,31,1981,11,NL,M,33.0,180.0,Neotoma,albigula,Rodent
229,5161,1,1,1982,5,NL,F,33.0,193.0,Neotoma,albigula,Rodent
230,5163,1,1,1982,3,NL,F,34.0,163.0,Neotoma,albigula,Rodent
231,5180,1,1,1982,2,NL,M,,206.0,Neotoma,albigula,Rodent
232,5195,1,1,1982,6,NL,M,35.0,152.0,Neotoma,albigula,Rodent
233,5201,1,24,1982,12,NL,F,32.0,220.0,Neotoma,albigula,Rodent
234,5218,1,24,1982,11,NL,M,34.0,168.0,Neotoma,albigula,Rodent
235,5241,1,24,1982,11,NL,F,33.0,,Neotoma,albigula,Rodent
236,5266,1,24,1982,18,NL,F,32.0,195.0,Neotoma,albigula,Rodent
237,5276,1,25,1982,5,NL,F,32.0,194.0,Neotoma,albigula,Rodent
238,5299,1,25,1982,2,NL,F,32.0,165.0,Neotoma,albigula,Rodent
239,5338,2,22,1982,12,NL,F,32.0,226.0,Neotoma,albigula,Rodent
240,5344,2,22,1982,18,NL,M,32.0,100.0,Neotoma,albigula,Rodent
241,5349,2,22,1982,24,NL,M,33.0,226.0,Neotoma,albigula,Rodent
242,5373,2,22,1982,18,NL,F,31.0,88.0,Neotoma,albigula,Rodent
243,5389,2,23,1982,3,NL,F,33.0,145.0,Neotoma,albigula,Rodent
244,5400,2,23,1982,5,NL,F,32.0,248.0,Neotoma,albigula,Rodent
245,5401,2,23,1982,11,NL,M,34.0,198.0,Neotoma,albigula,Rodent
246,5403,2,23,1982,3,NL,M,35.0,211.0,Neotoma,albigula,Rodent
247,5458,2,23,1982,5,NL,M,34.0,235.0,Neotoma,albigula,Rodent
248,5485,2,24,1982,2,NL,M,34.0,202.0,Neotoma,albigula,Rodent
249,5517,3,29,1982,20,NL,F,32.0,164.0,Neotoma,albigula,Rodent
250,5552,3,29,1982,11,NL,M,34.0,212.0,Neotoma,albigula,Rodent
251,5558,3,29,1982,2,NL,M,33.0,211.0,Neotoma,albigula,Rodent
252,5583,3,29,1982,2,NL,M,31.0,120.0,Neotoma,albigula,Rodent
253,5607,3,30,1982,5,NL,F,32.0,190.0,Neotoma,albigula,Rodent
254,5612,3,30,1982,3,NL,F,31.0,103.0,Neotoma,albigula,Rodent
255,5632,3,30,1982,1,NL,F,31.0,109.0,Neotoma,albigula,Rodent
256,5702,4,28,1982,12,NL,F,33.0,217.0,Neotoma,albigula,Rodent
257,5740,4,28,1982,17,NL,F,32.0,146.0,Neotoma,albigula,Rodent
258,5768,4,29,1982,5,NL,F,29.0,106.0,Neotoma,albigula,Rodent
259,5771,4,29,1982,5,NL,F,32.0,203.0,Neotoma,albigula,Rodent
260,5783,4,29,1982,3,NL,M,33.0,114.0,Neotoma,albigula,Rodent
261,5797,4,29,1982,15,NL,M,31.0,129.0,Neotoma,albigula,Rodent
262,5836,5,21,1982,24,NL,F,33.0,183.0,Neotoma,albigula,Rodent
263,5837,5,21,1982,12,NL,M,32.0,102.0,Neotoma,albigula,Rodent
264,5838,5,21,1982,24,NL,M,32.0,127.0,Neotoma,albigula,Rodent
265,5846,5,21,1982,12,NL,M,34.0,252.0,Neotoma,albigula,Rodent
266,5871,5,21,1982,17,NL,F,32.0,152.0,Neotoma,albigula,Rodent
267,5885,5,21,1982,18,NL,M,33.0,164.0,Neotoma,albigula,Rodent
268,5900,5,21,1982,13,NL,F,32.0,140.0,Neotoma,albigula,Rodent
269,5920,5,22,1982,15,NL,M,33.0,164.0,Neotoma,albigula,Rodent
270,5922,5,22,1982,5,NL,F,33.0,210.0,Neotoma,albigula,Rodent
271,5930,5,22,1982,5,NL,F,33.0,205.0,Neotoma,albigula,Rodent
272,5938,5,22,1982,3,NL,M,35.0,136.0,Neotoma,albigula,Rodent
273,5966,5,22,1982,2,NL,F,32.0,40.0,Neotoma,albigula,Rodent
274,5981,6,28,1982,3,NL,M,35.0,173.0,Neotoma,albigula,Rodent
275,5995,6,28,1982,10,NL,M,,237.0,Neotoma,albigula,Rodent
276,5999,6,28,1982,15,NL,M,,183.0,Neotoma,albigula,Rodent
277,6009,6,28,1982,14,NL,,,83.0,Neotoma,albigula,Rodent
278,6020,6,28,1982,2,NL,M,33.0,222.0,Neotoma,albigula,Rodent
279,6022,6,28,1982,1,NL,F,33.0,143.0,Neotoma,albigula,Rodent
280,6023,6,28,1982,2,NL,F,30.0,100.0,Neotoma,albigula,Rodent
281,6036,6,28,1982,2,NL,F,33.0,120.0,Neotoma,albigula,Rodent
282,6044,6,28,1982,15,NL,F,,112.0,Neotoma,albigula,Rodent
283,6057,6,29,1982,24,NL,F,,181.0,Neotoma,albigula,Rodent
284,6059,6,29,1982,13,NL,F,31.0,124.0,Neotoma,albigula,Rodent
285,6105,6,29,1982,20,NL,F,,95.0,Neotoma,albigula,Rodent
286,6110,6,29,1982,16,NL,F,,99.0,Neotoma,albigula,Rodent
287,6113,6,29,1982,18,NL,M,,182.0,Neotoma,albigula,Rodent
288,6118,6,29,1982,17,NL,F,,146.0,Neotoma,albigula,Rodent
289,6167,7,25,1982,2,NL,M,,219.0,Neotoma,albigula,Rodent
290,6171,7,25,1982,5,NL,F,,195.0,Neotoma,albigula,Rodent
291,6187,7,25,1982,1,NL,F,,145.0,Neotoma,albigula,Rodent
292,6202,7,25,1982,9,NL,M,,,Neotoma,albigula,Rodent
293,6220,7,26,1982,13,NL,F,,139.0,Neotoma,albigula,Rodent
294,6225,7,26,1982,13,NL,M,,60.0,Neotoma,albigula,Rodent
295,6237,7,26,1982,24,NL,M,,204.0,Neotoma,albigula,Rodent
296,6240,7,26,1982,24,NL,M,,223.0,Neotoma,albigula,Rodent
297,6241,7,26,1982,24,NL,F,,184.0,Neotoma,albigula,Rodent
298,6264,7,26,1982,18,NL,M,,181.0,Neotoma,albigula,Rodent
299,6270,7,26,1982,17,NL,F,,139.0,Neotoma,albigula,Rodent
300,6280,7,26,1982,24,NL,F,,150.0,Neotoma,albigula,Rodent
301,6281,7,26,1982,17,NL,F,,114.0,Neotoma,albigula,Rodent
302,6283,7,26,1982,11,NL,F,,123.0,Neotoma,albigula,Rodent
303,6291,7,27,1982,16,NL,F,,109.0,Neotoma,albigula,Rodent
304,6296,7,27,1982,20,NL,F,,99.0,Neotoma,albigula,Rodent
305,6311,7,27,1982,16,NL,F,,108.0,Neotoma,albigula,Rodent
306,6314,7,27,1982,20,NL,F,,120.0,Neotoma,albigula,Rodent
307,6315,7,27,1982,20,NL,F,,184.0,Neotoma,albigula,Rodent
308,6355,8,15,1982,24,NL,,,136.0,Neotoma,albigula,Rodent
309,6383,8,15,1982,20,NL,F,31.0,116.0,Neotoma,albigula,Rodent
310,6387,8,15,1982,20,NL,M,32.0,146.0,Neotoma,albigula,Rodent
311,6397,8,15,1982,17,NL,F,31.0,142.0,Neotoma,albigula,Rodent
312,6424,8,15,1982,20,NL,F,31.0,172.0,Neotoma,albigula,Rodent
313,6436,8,16,1982,5,NL,,,202.0,Neotoma,albigula,Rodent
314,6476,8,16,1982,15,NL,M,33.0,178.0,Neotoma,albigula,Rodent
315,6479,8,16,1982,2,NL,F,31.0,112.0,Neotoma,albigula,Rodent
316,6488,8,16,1982,15,NL,F,30.0,137.0,Neotoma,albigula,Rodent
317,6490,8,16,1982,9,NL,M,32.0,117.0,Neotoma,albigula,Rodent
318,6500,8,16,1982,2,NL,F,33.0,152.0,Neotoma,albigula,Rodent
319,6509,8,16,1982,13,NL,F,31.0,,Neotoma,albigula,Rodent
320,6515,9,18,1982,9,NL,M,33.0,159.0,Neotoma,albigula,Rodent
321,6543,9,18,1982,5,NL,F,32.0,213.0,Neotoma,albigula,Rodent
322,6555,9,18,1982,11,NL,F,32.0,189.0,Neotoma,albigula,Rodent
323,6633,9,19,1982,17,NL,F,32.0,150.0,Neotoma,albigula,Rodent
324,6640,9,19,1982,20,NL,F,33.0,184.0,Neotoma,albigula,Rodent
325,6664,10,23,1982,5,NL,F,32.0,205.0,Neotoma,albigula,Rodent
326,6685,10,23,1982,12,NL,F,33.0,219.0,Neotoma,albigula,Rodent
327,6738,10,23,1982,12,NL,M,31.0,97.0,Neotoma,albigula,Rodent
328,6756,10,23,1982,15,NL,M,34.0,185.0,Neotoma,albigula,Rodent
329,6881,10,24,1982,20,NL,F,33.0,147.0,Neotoma,albigula,Rodent
330,6897,10,24,1982,18,NL,,,,Neotoma,albigula,Rodent
331,6962,11,21,1982,13,NL,M,34.0,160.0,Neotoma,albigula,Rodent
332,7019,11,21,1982,17,NL,F,31.0,143.0,Neotoma,albigula,Rodent
333,7024,11,21,1982,20,NL,F,32.0,143.0,Neotoma,albigula,Rodent
334,7030,11,21,1982,24,NL,F,30.0,162.0,Neotoma,albigula,Rodent
335,7052,11,22,1982,12,NL,F,32.0,118.0,Neotoma,albigula,Rodent
336,7055,11,22,1982,12,NL,F,32.0,235.0,Neotoma,albigula,Rodent
337,7057,11,22,1982,3,NL,M,33.0,200.0,Neotoma,albigula,Rodent
338,7059,11,22,1982,5,NL,F,30.0,176.0,Neotoma,albigula,Rodent
339,7077,11,22,1982,11,NL,,,,Neotoma,albigula,Rodent
340,7145,1,12,1983,12,NL,M,32.0,239.0,Neotoma,albigula,Rodent
341,7149,1,12,1983,11,NL,F,32.0,208.0,Neotoma,albigula,Rodent
342,7200,1,12,1983,17,NL,F,29.0,145.0,Neotoma,albigula,Rodent
343,7356,2,26,1983,18,NL,M,33.0,235.0,Neotoma,albigula,Rodent
